"Chromosome" "chromStart" "chromEnd" "Band" "Stain"
"1" "LSC" 1 79015 "" ""
"2" "IRb" 79016 109723 "" ""
"3" "SSC" 109724 128492 "" ""
"4" "IRa" 128493 159200 "" ""
